date,open,high,low,close,volume
2023-09-12 08:40:00,4531.25,4532.25,4530.0,4530.25,3112
2023-09-12 08:45:00,4530.5,4530.75,4529.0,4529.75,1614
2023-09-12 08:50:00,4529.75,4529.75,4527.5,4528.25,1783
2023-09-12 08:55:00,4528.25,4528.25,4526.25,4526.5,2850
2023-09-12 09:00:00,4526.25,4526.25,4523.75,4524.5,5445
2023-09-12 09:05:00,4524.75,4525.5,4523.75,4524.0,4099
2023-09-12 09:10:00,4524.25,4524.25,4521.75,4522.5,3417
2023-09-12 09:15:00,4522.5,4523.0,4520.25,4521.0,3461
2023-09-12 09:20:00,4521.25,4522.25,4519.75,4522.0,3760
2023-09-12 09:25:00,4522.0,4523.75,4521.5,4523.75,5937
2023-09-12 09:30:00,4523.75,4530.0,4521.75,4529.25,31439
2023-09-12 09:35:00,4529.25,4531.0,4527.0,4530.25,24864
2023-09-12 09:40:00,4530.25,4532.5,4527.0,4529.25,17453
2023-09-12 09:45:00,4529.5,4531.0,4525.5,4527.0,16696
2023-09-12 09:50:00,4527.25,4529.5,4525.5,4528.75,13169
2023-09-12 09:55:00,4529.0,4531.75,4528.75,4531.0,12766
2023-09-12 10:00:00,4530.75,4531.0,4528.0,4528.5,11988
2023-09-12 10:05:00,4528.5,4528.75,4524.5,4526.0,12832
2023-09-12 10:10:00,4526.0,4529.75,4524.75,4529.5,11973
2023-09-12 10:15:00,4529.25,4530.0,4526.0,4529.25,11890
2023-09-12 10:20:00,4529.0,4529.0,4523.5,4524.0,11565
2023-09-12 10:25:00,4523.75,4523.75,4518.25,4520.0,24323
2023-09-12 10:30:00,4520.0,4523.25,4517.25,4522.5,19936
2023-09-12 10:35:00,4522.25,4523.25,4519.0,4520.25,13536
2023-09-12 10:40:00,4520.25,4522.0,4518.5,4521.5,11677
2023-09-12 10:45:00,4521.25,4523.0,4519.75,4520.25,10772
2023-09-12 10:50:00,4520.25,4520.5,4516.75,4516.75,10121
2023-09-12 10:55:00,4517.0,4519.5,4515.75,4516.0,10926
